Product Name,Rating,Trusted Apps Seal,Vetted,Certified,Supplier Name,TechnicalNotes,InstructionalNotes
Canvas,PREFERRED,true,true,true,Instructure,,
Google Drive,PREFERRED,false,true,true,Google LLC,,
Kahoot!,APPROVED,true,true,true,Kahoot!,,
Nearpod,APPROVED,false,true,true,NEARPOD INC,,
Pear Deck,APPROVED,true,true,true,GoGuardian,<p>Limited to Middle School Science</p>,
Zoom,PREFERRED,false,true,false,Zoom Video Communications,<p>Staff use only.</p>,
Google Workspace for Education,PREFERRED,false,true,false,Google LLC,,
Google Chrome,PREFERRED,false,true,false,Google LLC,,
Flipgrid,APPROVED,false,true,false,Microsoft,,
Microsoft Office 365,APPROVED,false,true,false,Microsoft,,
Microsoft Teams Meetings,APPROVED,false,true,false,Microsoft,,
Canva for Education,APPROVED,false,true,false,Canva,,
Google Arts and Culture,APPROVED,false,true,false,Google LLC,,
Google Meet,APPROVED,false,true,true,Google LLC,,
Be Internet Awesome,APPROVED,false,true,false,Google LLC,,
YouTube,APPROVED,false,true,false,Google LLC,,
Asana,PREFERRED,false,true,false,"Asana, Inc.",,
Read&Write for Google Chrome,PREFERRED,false,false,false,Texthelp,,
Stickity,DENIED,false,false,false,Stickity for Schools,<p>Privacy policy not meeting the standard</p>,
Microsoft MakeCode,APPROVED,false,true,false,Microsoft,,
Gemini,PREFERRED,false,true,false,Google LLC,,
Curipod,PREFERRED,false,true,false,Curipod AS,,
Otter.ai,UNDER REVIEW,false,true,false,"Otter.ai, Inc.",,
MagicSchool,PREFERRED,true,true,true,"Magic School, Inc",,
SchoolAI,PREFERRED,true,true,true,"SchoolAI, Inc",,
Claude.ai,PREFERRED,false,true,false,Anthropic,,
Applied Digital Skills,PREFERRED,false,true,false,Google LLC,,
NotebookLM,PREFERRED,false,true,false,Google LLC,,
Looker Studio,PREFERRED,false,true,false,Google LLC,,
Google Gemini,PREFERRED,false,false,true,Google LLC,,
